id	name	cost	type	subtype	atk	def	keywords	effect	rarity	unique
1	Young Thief	1	unit	rogue	4	2	tenacity		common	false
2	Fast Rat	1	unit	rat	4	1	dash		common	false
3	Red Rose Warrior	1	unit	plant	0	7			common	false
4	Mud Golem	1	unit	golem	2	4	tenacity		common	false
5	Giant Ant	1	unit	bug	4	3			common	false
6	Mad Warrior	1	unit	berserker	5	2			common	false
7	Sorcerer Apprentice	1	unit	mage	3	4			common	false
8	Little Wurm	1	unit	wurm	4	3			common	false
9	Ephemeral Angel	1	unit	angel	3	2	fly		common	false
10	Desert Nomad	1	unit	merchant	2	5			common	false
11	Hasty Fiend	1	unit	demon	3	2	dash		common	false
12	Flying Ghost	1	unit	spirit	2	3	fly		common	false
13	Wild Beast	1	unit	beast	4	1	overrun		common	false
14	Brave Soldier	1	unit	soldier	4	3			common	false
15	Undead Servant	1	unit	zombie	4	3			common	false
16	Quick Rat	1	unit	rat	4	0	dash	Enter - Opponent discards 1 card from hand.	common	false
17	Desert Rat	1	unit	rat	3	2		Enter/Attack - Opponent loses 3 life.	common	false
18	Plague Rat	1	unit	rat	2	3		Enter/Death - Put a weak counter on each enemy.	common	false
19	Digging Rat	1	unit	rat	3	1		Enter/Attack - Dig 3.	common	false
20	Garden Keeper	1	unit	plant	0	5		Harvest - Gain 5 life.	common	false
21	Yellow Rose Seed	1	unit	plant	0	4		Harvest - Discard a card then gain 1 coin.	common	false
22	Blue Rose Seed	1	unit	plant	0	4		Harvest - Discard a card then draw 1 card.	common	false
23	Stone Golem	1	unit	golem	3	3		Closure - You may have this unit become a defender.	common	false
24	Rock Golem	1	unit	golem	3	4		Defend - Put 2 power counters on this unit.	common	false
25	Slaying Mantis	1	unit	bug	5	3	fly	Attack - You lose 3 life.	common	false
26	Dark Caterpillar	1	unit	bug	3	3		Enter - Put 3 weak counters on an enemy.	common	false
27	Angry Pacifist	1	unit	berserker	6	3	dash	Closure - You lose 3 life.	common	false
28	Furious Avenger	1	unit	berserker	7	5	overrun	Closure - Discard a card.	common	false
29	Fire Apprentice	1	unit	mage	2	2		Enter/Ability - Deal 2 damage.	common	false
30	Ice Apprentice	1	unit	mage	2	3		Enter/Ability - Draw 1 card then discard 1 card.	common	false
31	Dark Apprentice	1	unit	mage	3	3		Enter/Ability - Opponent loses 3 life.	common	false
32	Nomadic Salesman	1	unit	merchant	2	3		Enter/Ability - Discard 2 cards then draw 1 card and gain 1 coin.	common	false
33	Travelling Vendor	1	unit	merchant	2	3		Enter/Ability - Pay 1 coin to draw 2 cards then discard 1 card.	common	false
34	Ruthless Negotiator	1	unit	merchant	4	3	tenacity	Enter/Attack - Put a weak counter on an ally of your choice to gain 1 coin.	common	false
35	Dead Demon of Discord	1	unit	demon	3	1	dash	Death - Draw 1 card and you lose 3 life.	common	false
36	Dead Demon of Dreams	1	unit	demon	3	1	dash	Death - Gain 1 coin and you lose 3 life.	common	false
37	Dead Demon of Doubt	1	unit	demon	3	1	dash	Death - Opponent discards 1 card then you lose 3 life.	common	false
38	Dead Demon of Darkness	1	unit	demon	3	1	dash	Death - Deal 3 damage and you lose 3 life.	common	false
39	Dead Demon of Deceit	1	unit	demon	3	1	dash	Death - Add 2 demons from your graveyard to your hand then you lose 3 life.	common	false
40	Life Guardian	1	unit	spirit	3	1	fly	Enter/Attack/Death - Gain 3 life.	common	false
41	Savage Boar	1	unit	beast	4	2		Enter - Gain 4 life.	common	false
42	Angry Beast	1	unit	beast	5	4	dash;overrun	Attack - Discard a card.	common	false
43	Prodigious Recruit	1	unit	soldier	3	3		Attack - Put 2 power counters on this unit.	common	false
